orf_id	aa_A	aa_C	aa_D	aa_E	aa_F	aa_G	aa_H	aa_I	aa_K	aa_L	aa_M	aa_N	aa_P	aa_Q	aa_R	aa_S	aa_T	aa_V	aa_W	aa_Y	grp_tiny	grp_small	grp_aliphatic	grp_aromatic	grp_polar	grp_nonpolar	grp_charged	grp_turnforming	phys_mw	phys_charge	phys_hydrophobicity	phys_hydro_ratio	phys_amphipathic	phys_boman	phys_ww	phys_aliphatic_idx	phys_gravy	phys_pi	phys_aromaticity	phys_disorder	dp_LL	dp_KK	dp_KL	dp_LK	dp_AA	dp_GG	dp_RR	dp_VV
contig_2_s+_f1_orf238	0.057554	0.043165	0.021583	0.057554	0.028777	0.043165	0.035971	0.071942	0.043165	0.064748	0.071942	0.064748	0.079137	0.028777	0.028777	0.043165	0.021583	0.057554	0.071942	0.064748	0.143885	0.431655	0.251799	0.165468	0.388489	0.546763	0.18705	0.251799	16612.5	4	0.1661	0.4245	0.177	-0.4686	0.0545	75.76	-0.1194	7.14	0.1655	0.3525	0.0	0.0	0.0	0.0	0.0	0.0	0.007246	0.007246
contig_3_s+_f1_orf145	0.069182	0.050314	0.050314	0.031447	0.056604	0.031447	0.062893	0.069182	0.025157	0.08805	0.050314	0.075472	0.025157	0.062893	0.025157	0.037736	0.037736	0.056604	0.037736	0.056604	0.138365	0.433962	0.283019	0.150943	0.459119	0.484277	0.194969	0.220126	18833.7	5	0.1543	0.4277	0.215	-0.4364	0.0796	84.65	-0.0119	7.16	0.1509	0.283	0.012658	0.0	0.0	0.006329	0.006329	0.0	0.0	0.006329
contig_2_s-_f2_orf295	0.021053	0.042105	0.068421	0.052632	0.015789	0.078947	0.036842	0.063158	0.052632	0.047368	0.052632	0.047368	0.042105	0.047368	0.052632	0.057895	0.052632	0.042105	0.073684	0.052632	0.157895	0.452632	0.173684	0.142105	0.510526	0.436842	0.263158	0.294737	22660.2	4	-0.0407	0.3158	0.2129	-0.2405	0.1574	57.42	-0.7037	7.11	0.1421	0.3526	0.0	0.0	0.0	0.010582	0.0	0.0	0.0	0.005291
contig_5_s-_f0_orf584	0.046512	0.034884	0.040698	0.040698	0.02907	0.02907	0.02907	0.063953	0.034884	0.063953	0.052326	0.052326	0.069767	0.046512	0.052326	0.075581	0.05814	0.05814	0.081395	0.040698	0.151163	0.465116	0.232558	0.151163	0.465116	0.494186	0.197674	0.267442	20566.6	6	0.0648	0.3953	0.1575	-0.393	0.0667	71.4	-0.3192	7.17	0.1512	0.343	0.005848	0.005848	0.0	0.005848	0.005848	0.0	0.011696	0.011696
contig_6_s-_f1_orf70	0.083333	0.008333	0.083333	0.083333	0.05	0.008333	0.05	0.025	0.075	0.083333	0.091667	0.016667	0.025	0.033333	0.066667	0.041667	0.0	0.058333	0.091667	0.025	0.133333	0.325	0.25	0.166667	0.458333	0.516667	0.358333	0.175	15052.8	3	-0.0408	0.4833	0.1316	-0.3517	0.1853	67.5	-0.5433	7.12	0.1667	0.35	0.008403	0.008403	0.008403	0.0	0.008403	0.0	0.008403	0.0
contig_2_s+_f0_orf181	0.056075	0.037383	0.018692	0.028037	0.028037	0.037383	0.046729	0.084112	0.065421	0.074766	0.084112	0.028037	0.074766	0.037383	0.065421	0.037383	0.037383	0.028037	0.046729	0.084112	0.130841	0.35514	0.242991	0.158879	0.401869	0.514019	0.224299	0.196262	13005.8	14	0.0629	0.4019	0.0316	-0.46	0.0558	75.7	-0.2206	7.65	0.1589	0.3364	0.009434	0.0	0.009434	0.018868	0.0	0.009434	0.0	0.0
contig_6_s+_f2_orf378	0.061798	0.078652	0.05618	0.061798	0.044944	0.039326	0.050562	0.039326	0.05618	0.022472	0.044944	0.044944	0.044944	0.050562	0.039326	0.061798	0.061798	0.02809	0.067416	0.044944	0.162921	0.477528	0.151685	0.157303	0.561798	0.393258	0.264045	0.247191	21242.8	5	-0.0502	0.309	0.3841	-0.1543	0.1939	38.43	-0.7051	7.14	0.1573	0.3764	0.00565	0.0	0.0	0.0	0.011299	0.0	0.0	0.0
contig_1_s+_f1_orf152	0.053333	0.053333	0.08	0.053333	0.04	0.053333	0.08	0.08	0.04	0.08	0.026667	0.053333	0.08	0.026667	0.04	0.053333	0.0	0.066667	0.013333	0.026667	0.16	0.493333	0.28	0.08	0.48	0.493333	0.293333	0.32	8539.2	2	0.0548	0.36	0.0964	-0.2737	0.2921	87.07	-0.2413	7.13	0.08	0.36	0.0	0.0	0.0	0.0	0.013514	0.0	0.0	0.0
contig_4_s-_f1_orf55	0.085227	0.017045	0.102273	0.079545	0.051136	0.005682	0.079545	0.056818	0.068182	0.073864	0.085227	0.011364	0.011364	0.005682	0.096591	0.011364	0.022727	0.045455	0.051136	0.039773	0.102273	0.3125	0.261364	0.142045	0.494318	0.465909	0.426136	0.142045	22077.6	11	-0.1114	0.4489	0.4059	-0.2905	0.2799	72.67	-0.5659	7.31	0.142	0.267	0.005714	0.005714	0.011429	0.005714	0.011429	0.0	0.011429	0.0
contig_3_s+_f0_orf596	0.087838	0.060811	0.040541	0.087838	0.060811	0.047297	0.033784	0.027027	0.060811	0.054054	0.027027	0.006757	0.047297	0.054054	0.067568	0.054054	0.047297	0.027027	0.060811	0.047297	0.189189	0.418919	0.195946	0.168919	0.513514	0.439189	0.290541	0.195946	17684.1	5	-0.065	0.3446	0.1849	-0.1671	0.2051	48.24	-0.6264	7.17	0.1689	0.4392	0.0	0.006803	0.006803	0.0	0.006803	0.0	0.0	0.0
contig_2_s+_f0_orf34	0.08	0.06	0.04	0.0	0.08	0.06	0.1	0.1	0.08	0.06	0.1	0.02	0.0	0.0	0.04	0.02	0.02	0.0	0.08	0.06	0.16	0.3	0.24	0.22	0.38	0.56	0.26	0.14	6210.1	9	0.2196	0.5	0.2717	-0.642	-0.0832	70.4	0.16	7.9	0.22	0.24	0.0	0.0	0.0	0.020408	0.020408	0.0	0.0	0.0
contig_1_s+_f1_orf79	0.0	0.0	0.115385	0.0	0.115385	0.0	0.076923	0.038462	0.076923	0.307692	0.076923	0.0	0.0	0.038462	0.076923	0.038462	0.0	0.038462	0.0	0.0	0.038462	0.192308	0.384615	0.115385	0.423077	0.576923	0.346154	0.153846	3242.8	3	0.1231	0.5769	0.1174	-0.7673	0.0519	146.15	0.5115	7.58	0.1154	0.1538	0.12	0.0	0.04	0.0	0.0	0.0	0.0	0.0
contig_4_s+_f1_orf219	0.05102	0.020408	0.030612	0.040816	0.061224	0.040816	0.071429	0.040816	0.040816	0.030612	0.040816	0.071429	0.040816	0.061224	0.020408	0.061224	0.071429	0.081633	0.071429	0.05102	0.153061	0.469388	0.204082	0.183673	0.489796	0.459184	0.204082	0.244898	11752.6	6	0.0876	0.3776	0.0707	-0.3507	0.0787	56.63	-0.4704	7.31	0.1837	0.3367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_3_s+_f1_orf22	0.070064	0.019108	0.076433	0.076433	0.044586	0.038217	0.057325	0.038217	0.089172	0.070064	0.089172	0.019108	0.019108	0.019108	0.076433	0.019108	0.025478	0.057325	0.076433	0.019108	0.127389	0.343949	0.235669	0.140127	0.477707	0.503185	0.375796	0.171975	19374.6	11	-0.0757	0.4459	0.0684	-0.3068	0.2269	65.86	-0.5694	7.35	0.1401	0.3312	0.00641	0.0	0.019231	0.0	0.0	0.0	0.00641	0.0
contig_5_s+_f2_orf311	0.066667	0.074074	0.02963	0.051852	0.066667	0.051852	0.02963	0.02963	0.02963	0.059259	0.059259	0.059259	0.059259	0.051852	0.044444	0.044444	0.044444	0.059259	0.02963	0.059259	0.162963	0.488889	0.214815	0.155556	0.459259	0.481481	0.185185	0.244444	15741.2	3	0.0849	0.3704	0.213	-0.3239	0.1205	58.52	-0.1585	7.11	0.1556	0.3556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_1_s-_f1_orf49	0.073529	0.0	0.029412	0.073529	0.102941	0.014706	0.102941	0.073529	0.088235	0.014706	0.044118	0.029412	0.014706	0.0	0.073529	0.0	0.058824	0.029412	0.147059	0.029412	0.088235	0.25	0.191176	0.279412	0.455882	0.514706	0.367647	0.088235	9035.1	11	0.0144	0.4853	0.0776	-0.466	0.0151	50.29	-0.6941	7.81	0.2794	0.2647	0.0	0.014925	0.0	0.0	0.0	0.0	0.0	0.0
contig_5_s-_f0_orf54	0.025641	0.025641	0.076923	0.0	0.076923	0.025641	0.128205	0.025641	0.076923	0.051282	0.076923	0.051282	0.051282	0.025641	0.051282	0.025641	0.0	0.076923	0.102564	0.025641	0.076923	0.358974	0.179487	0.205128	0.461538	0.512821	0.333333	0.230769	4994.6	7	0.0131	0.4359	0.206	-0.4662	0.0592	54.87	-0.6128	7.9	0.2051	0.2308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026316
contig_1_s-_f0_orf474	0.066667	0.019048	0.07619	0.019048	0.066667	0.085714	0.019048	0.057143	0.057143	0.038095	0.019048	0.07619	0.066667	0.085714	0.047619	0.019048	0.047619	0.057143	0.028571	0.047619	0.171429	0.514286	0.219048	0.142857	0.466667	0.485714	0.219048	0.32381	12056.6	3	-0.0306	0.3333	0.2534	-0.1789	0.1709	60.38	-0.6429	7.14	0.1429	0.4	0.009615	0.009615	0.0	0.0	0.0	0.0	0.0	0.0
contig_2_s-_f2_orf623	0.050505	0.060606	0.060606	0.055556	0.050505	0.065657	0.040404	0.055556	0.040404	0.065657	0.045455	0.055556	0.060606	0.065657	0.055556	0.040404	0.050505	0.030303	0.020202	0.030303	0.156566	0.474747	0.20202	0.10101	0.525253	0.444444	0.252525	0.282828	22829.5	4	-0.0418	0.3182	0.1349	-0.1801	0.2501	61.11	-0.5192	7.1	0.101	0.3788	0.0	0.0	0.010152	0.0	0.0	0.015228	0.0	0.0
contig_5_s-_f1_orf130	0.025	0.1	0.0375	0.025	0.025	0.025	0.0625	0.0875	0.0375	0.0375	0.025	0.0875	0.0125	0.0625	0.025	0.075	0.0875	0.025	0.075	0.0625	0.125	0.475	0.175	0.1625	0.6	0.3375	0.1875	0.2375	9671.5	5	0.0322	0.3	0.0689	-0.2871	0.0652	58.5	-0.4488	7.31	0.1625	0.2625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_2_s+_f0_orf275	0.082353	0.023529	0.070588	0.047059	0.035294	0.047059	0.070588	0.035294	0.035294	0.023529	0.047059	0.035294	0.035294	0.082353	0.082353	0.058824	0.058824	0.058824	0.023529	0.047059	0.188235	0.470588	0.2	0.105882	0.564706	0.388235	0.305882	0.247059	9981.5	6	-0.1736	0.3059	0.1512	-0.0672	0.3073	48.24	-0.9129	7.35	0.1059	0.3882	0.0	0.0	0.011905	0.0	0.0	0.0	0.0	0.0
contig_3_s-_f2_orf360	0.033557	0.033557	0.026846	0.040268	0.060403	0.04698	0.013423	0.09396	0.040268	0.033557	0.04698	0.04698	0.053691	0.067114	0.080537	0.026846	0.073826	0.04698	0.087248	0.04698	0.107383	0.389262	0.208054	0.194631	0.449664	0.503356	0.201342	0.201342	18407.4	10	0.0346	0.4027	0.4122	-0.4263	0.014	66.71	-0.3638	7.34	0.1946	0.3087	0.006757	0.0	0.006757	0.0	0.0	0.006757	0.006757	0.006757
contig_5_s+_f1_orf19	0.036364	0.036364	0.127273	0.109091	0.036364	0.018182	0.072727	0.018182	0.018182	0.054545	0.090909	0.018182	0.018182	0.036364	0.036364	0.0	0.036364	0.072727	0.145455	0.018182	0.054545	0.363636	0.181818	0.2	0.490909	0.490909	0.363636	0.181818	7114.7	-6	0.0389	0.4545	0.0845	-0.3596	0.172	53.09	-0.6764	6.45	0.2	0.2364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_4_s-_f2_orf93	0.048951	0.06993	0.034965	0.055944	0.048951	0.041958	0.020979	0.062937	0.048951	0.062937	0.020979	0.055944	0.076923	0.062937	0.062937	0.055944	0.034965	0.034965	0.041958	0.055944	0.146853	0.454545	0.20979	0.146853	0.503497	0.440559	0.223776	0.265734	16926.5	6	-0.0313	0.3217	0.0892	-0.2324	0.1652	64.13	-0.486	7.21	0.1469	0.3916	0.0	0.021127	0.0	0.007042	0.007042	0.0	0.007042	0.0
contig_4_s-_f0_orf71	0.059172	0.04142	0.047337	0.112426	0.076923	0.011834	0.088757	0.065089	0.029586	0.076923	0.071006	0.011834	0.005917	0.017751	0.112426	0.023669	0.0	0.076923	0.065089	0.005917	0.094675	0.278107	0.278107	0.147929	0.485207	0.508876	0.390533	0.100592	21365.1	12	-0.0179	0.4911	0.0973	-0.4305	0.2449	83.61	-0.1988	7.36	0.1479	0.2604	0.005952	0.0	0.017857	0.011905	0.0	0.0	0.017857	0.0
contig_4_s-_f0_orf442	0.017857	0.035714	0.125	0.017857	0.035714	0.089286	0.071429	0.017857	0.035714	0.053571	0.053571	0.071429	0.017857	0.035714	0.071429	0.107143	0.053571	0.035714	0.053571	0.0	0.214286	0.553571	0.125	0.089286	0.625	0.375	0.321429	0.410714	6477.6	2	-0.19	0.2679	0.2378	-0.07	0.2595	40.0	-1.0429	7.18	0.0893	0.3214	0.018182	0.0	0.0	0.0	0.0	0.0	0.018182	0.0
contig_5_s-_f0_orf165	0.074534	0.074534	0.024845	0.043478	0.037267	0.049689	0.074534	0.031056	0.018634	0.031056	0.055901	0.049689	0.068323	0.043478	0.086957	0.024845	0.074534	0.037267	0.037267	0.062112	0.149068	0.478261	0.173913	0.136646	0.515528	0.42236	0.248447	0.217391	19123.8	18	-0.0739	0.3043	0.1496	-0.1884	0.1937	42.48	-0.6379	7.56	0.1366	0.323	0.0	0.0	0.0	0.0	0.00625	0.0	0.0	0.0125
contig_4_s+_f1_orf283	0.035294	0.023529	0.023529	0.023529	0.011765	0.058824	0.047059	0.082353	0.117647	0.047059	0.082353	0.094118	0.047059	0.047059	0.035294	0.035294	0.070588	0.035294	0.035294	0.047059	0.129412	0.423529	0.2	0.094118	0.517647	0.435294	0.247059	0.258824	10010.2	13	-0.0747	0.3294	0.1806	-0.2435	0.1902	64.24	-0.6871	7.76	0.0941	0.3647	0.0	0.011905	0.0	0.02381	0.0	0.0	0.0	0.011905
contig_6_s-_f0_orf514	0.129032	0.032258	0.048387	0.064516	0.016129	0.016129	0.048387	0.048387	0.096774	0.032258	0.032258	0.096774	0.048387	0.080645	0.064516	0.016129	0.0	0.032258	0.032258	0.064516	0.16129	0.419355	0.241935	0.112903	0.548387	0.387097	0.322581	0.225806	7419.0	6	-0.2445	0.3226	0.0717	0.0321	0.3487	53.71	-1.1532	7.48	0.1129	0.4516	0.0	0.0	0.0	0.0	0.016393	0.0	0.016393	0.0
contig_4_s-_f1_orf236	0.053691	0.053691	0.067114	0.026846	0.026846	0.060403	0.060403	0.053691	0.060403	0.026846	0.060403	0.026846	0.067114	0.073826	0.026846	0.020134	0.04698	0.060403	0.073826	0.053691	0.134228	0.456376	0.194631	0.154362	0.463087	0.483221	0.241611	0.241611	17783.4	8	0.0454	0.3557	0.2406	-0.2929	0.1337	54.3	-0.5295	7.27	0.1544	0.3624	0.006757	0.0	0.0	0.0	0.0	0.0	0.0	0.006757
contig_2_s-_f1_orf16	0.068493	0.013699	0.027397	0.054795	0.054795	0.027397	0.082192	0.041096	0.09589	0.054795	0.082192	0.041096	0.027397	0.0	0.082192	0.013699	0.041096	0.109589	0.041096	0.027397	0.109589	0.369863	0.273973	0.123288	0.452055	0.506849	0.342466	0.136986	8849.0	13	-0.0322	0.4521	0.1696	-0.3827	0.2188	76.03	-0.2849	7.89	0.1233	0.2877	0.0	0.0	0.027778	0.0	0.0	0.0	0.0	0.013889
contig_5_s+_f2_orf420	0.047297	0.047297	0.013514	0.047297	0.087838	0.081081	0.027027	0.040541	0.040541	0.054054	0.033784	0.047297	0.054054	0.074324	0.040541	0.047297	0.060811	0.054054	0.047297	0.054054	0.175676	0.452703	0.195946	0.189189	0.445946	0.5	0.168919	0.243243	17369.7	7	0.1056	0.3649	0.1053	-0.3628	0.0489	57.3	-0.2493	7.24	0.1892	0.3919	0.006803	0.006803	0.0	0.0	0.0	0.006803	0.0	0.0
contig_2_s+_f2_orf451	0.012658	0.025316	0.050633	0.088608	0.037975	0.037975	0.088608	0.012658	0.037975	0.075949	0.088608	0.025316	0.075949	0.063291	0.050633	0.037975	0.037975	0.063291	0.037975	0.050633	0.088608	0.367089	0.164557	0.126582	0.506329	0.443038	0.316456	0.227848	9674.6	3	-0.0592	0.3291	0.3564	-0.2547	0.2822	54.18	-0.7785	7.19	0.1266	0.3544	0.012821	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_6_s-_f0_orf144	0.064815	0.037037	0.046296	0.055556	0.046296	0.064815	0.009259	0.046296	0.037037	0.055556	0.092593	0.064815	0.009259	0.064815	0.083333	0.055556	0.037037	0.055556	0.064815	0.009259	0.185185	0.435185	0.222222	0.12037	0.490741	0.5	0.231481	0.240741	12806.0	3	-0.0352	0.4259	0.1312	-0.3126	0.1404	62.31	-0.3731	7.14	0.1204	0.3519	0.0	0.0	0.0	0.0	0.0	0.009346	0.009346	0.0
contig_1_s+_f1_orf290	0.053571	0.041667	0.029762	0.041667	0.041667	0.071429	0.053571	0.059524	0.053571	0.053571	0.077381	0.041667	0.035714	0.053571	0.02381	0.041667	0.035714	0.053571	0.071429	0.065476	0.166667	0.404762	0.220238	0.178571	0.416667	0.517857	0.202381	0.220238	20113.1	10	0.1477	0.4107	0.0836	-0.4474	0.0361	65.0	-0.2036	7.3	0.1786	0.3512	0.0	0.005988	0.005988	0.0	0.005988	0.0	0.005988	0.0
contig_6_s+_f0_orf413	0.047619	0.015873	0.063492	0.047619	0.047619	0.047619	0.063492	0.031746	0.079365	0.095238	0.111111	0.031746	0.031746	0.031746	0.047619	0.031746	0.063492	0.047619	0.031746	0.031746	0.126984	0.380952	0.222222	0.111111	0.47619	0.492063	0.301587	0.206349	7529.4	5	0.0008	0.4127	0.2176	-0.3576	0.196	68.1	-0.373	7.4	0.1111	0.3175	0.032258	0.016129	0.0	0.016129	0.0	0.0	0.0	0.0
contig_4_s-_f1_orf168	0.034884	0.046512	0.046512	0.023256	0.034884	0.069767	0.05814	0.05814	0.104651	0.069767	0.034884	0.0	0.011628	0.046512	0.104651	0.081395	0.046512	0.05814	0.046512	0.023256	0.186047	0.395349	0.22093	0.104651	0.55814	0.418605	0.337209	0.209302	10219.3	17	-0.166	0.3372	0.2885	-0.2356	0.2071	70.23	-0.5744	7.99	0.1047	0.3721	0.0	0.011765	0.0	0.0	0.011765	0.0	0.023529	0.0
contig_4_s-_f0_orf434	0.052174	0.069565	0.026087	0.052174	0.052174	0.034783	0.06087	0.043478	0.043478	0.069565	0.06087	0.069565	0.034783	0.043478	0.034783	0.043478	0.069565	0.034783	0.06087	0.043478	0.130435	0.434783	0.2	0.156522	0.513043	0.443478	0.217391	0.208696	13817.2	7	0.0642	0.3739	0.1832	-0.346	0.1021	59.39	-0.3191	7.3	0.1565	0.3043	0.0	0.0	0.008772	0.008772	0.0	0.0	0.0	0.0
contig_5_s-_f0_orf148	0.027778	0.061111	0.038889	0.05	0.061111	0.038889	0.05	0.066667	0.033333	0.038889	0.044444	0.022222	0.033333	0.055556	0.061111	0.05	0.077778	0.061111	0.061111	0.066667	0.116667	0.411111	0.194444	0.188889	0.5	0.433333	0.233333	0.183333	22030.2	10	0.0508	0.3611	0.1525	-0.3813	0.0799	61.67	-0.2906	7.28	0.1889	0.2889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_5_s-_f0_orf520	0.065041	0.03252	0.02439	0.065041	0.04878	0.056911	0.00813	0.097561	0.03252	0.065041	0.073171	0.03252	0.081301	0.04065	0.073171	0.02439	0.02439	0.073171	0.03252	0.04878	0.146341	0.414634	0.300813	0.130081	0.357724	0.593496	0.203252	0.219512	14407.2	3	0.1406	0.4553	0.2124	-0.4823	0.121	91.14	0.1341	7.12	0.1301	0.3659	0.0	0.0	0.0	0.008197	0.008197	0.0	0.008197	0.008197
contig_3_s-_f2_orf354	0.046512	0.046512	0.023256	0.046512	0.069767	0.023256	0.023256	0.023256	0.069767	0.046512	0.139535	0.069767	0.046512	0.046512	0.023256	0.069767	0.023256	0.069767	0.046512	0.046512	0.139535	0.418605	0.186047	0.162791	0.44186	0.511628	0.186047	0.232558	5193.9	2	0.1021	0.4419	0.1895	-0.4537	0.0726	52.09	-0.1256	7.23	0.1628	0.3488	0.0	0.0	0.0	0.02381	0.0	0.0	0.0	0.0
contig_2_s-_f0_orf154	0.051724	0.034483	0.043103	0.086207	0.077586	0.008621	0.034483	0.051724	0.068966	0.043103	0.077586	0.077586	0.043103	0.025862	0.060345	0.043103	0.034483	0.034483	0.068966	0.034483	0.103448	0.37069	0.181034	0.181034	0.508621	0.456897	0.293103	0.215517	14473.0	4	-0.052	0.4052	0.0917	-0.2982	0.1687	52.16	-0.6181	7.17	0.181	0.3276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_4_s+_f1_orf23	0.021739	0.021739	0.108696	0.065217	0.021739	0.065217	0.130435	0.043478	0.065217	0.086957	0.065217	0.043478	0.021739	0.021739	0.130435	0.021739	0.0	0.021739	0.043478	0.0	0.108696	0.326087	0.173913	0.065217	0.608696	0.391304	0.5	0.26087	5702.1	7	-0.3502	0.3043	0.0597	-0.0622	0.4333	59.35	-1.3174	7.76	0.0652	0.2826	0.0	0.0	0.0	0.022222	0.0	0.0	0.0	0.0
contig_4_s+_f0_orf254	0.047059	0.070588	0.047059	0.029412	0.052941	0.041176	0.070588	0.076471	0.041176	0.058824	0.029412	0.041176	0.052941	0.029412	0.070588	0.082353	0.058824	0.011765	0.035294	0.052941	0.170588	0.452941	0.194118	0.141176	0.541176	0.405882	0.258824	0.264706	20116.8	18	-0.0271	0.3118	0.1323	-0.268	0.148	60.88	-0.4453	7.53	0.1412	0.3235	0.005917	0.0	0.0	0.005917	0.005917	0.0	0.0	0.0
contig_3_s-_f2_orf201	0.061224	0.054422	0.020408	0.054422	0.108844	0.027211	0.034014	0.034014	0.047619	0.047619	0.034014	0.054422	0.061224	0.068027	0.068027	0.034014	0.047619	0.034014	0.027211	0.081633	0.122449	0.394558	0.176871	0.217687	0.482993	0.435374	0.22449	0.197279	18011.8	11	-0.0217	0.3469	0.1257	-0.2821	0.1019	47.82	-0.4986	7.37	0.2177	0.3537	0.0	0.0	0.0	0.006849	0.006849	0.0	0.0	0.0
contig_4_s+_f2_orf289	0.08642	0.04321	0.04321	0.08642	0.04321	0.037037	0.037037	0.055556	0.074074	0.037037	0.04321	0.049383	0.037037	0.037037	0.04321	0.024691	0.074074	0.067901	0.037037	0.04321	0.148148	0.462963	0.246914	0.123457	0.512346	0.444444	0.283951	0.191358	18965.6	4	-0.0183	0.3704	0.3014	-0.1894	0.2684	64.44	-0.4506	7.12	0.1235	0.3827	0.0	0.006211	0.0	0.0	0.018634	0.0	0.006211	0.0
contig_5_s-_f0_orf398	0.062176	0.051813	0.051813	0.036269	0.036269	0.062176	0.056995	0.036269	0.051813	0.067358	0.051813	0.088083	0.041451	0.056995	0.041451	0.067358	0.025907	0.025907	0.056995	0.031088	0.19171	0.476684	0.19171	0.124352	0.528497	0.440415	0.238342	0.310881	22572.1	12	-0.041	0.3368	0.3112	-0.2053	0.1666	54.15	-0.6725	7.31	0.1244	0.3782	0.005208	0.0	0.0	0.0	0.0	0.005208	0.005208	0.0
contig_3_s-_f1_orf5	0.054545	0.027273	0.045455	0.072727	0.072727	0.018182	0.063636	0.081818	0.090909	0.027273	0.063636	0.018182	0.009091	0.009091	0.136364	0.009091	0.018182	0.090909	0.063636	0.027273	0.081818	0.290909	0.254545	0.163636	0.490909	0.481818	0.409091	0.1	14041.0	19	-0.1485	0.4545	0.1526	-0.3575	0.2266	74.36	-0.4709	7.86	0.1636	0.2636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_6_s-_f1_orf264	0.02521	0.02521	0.016807	0.067227	0.042017	0.092437	0.05042	0.05042	0.067227	0.067227	0.042017	0.058824	0.033613	0.10084	0.02521	0.058824	0.042017	0.067227	0.042017	0.02521	0.176471	0.420168	0.210084	0.109244	0.512605	0.462185	0.226891	0.260504	13776.7	7	0.0083	0.3361	0.398	-0.2512	0.2078	67.9	-0.5571	7.29	0.1092	0.4454	0.0	0.0	0.0	0.0	0.0	0.016949	0.0	0.0
contig_4_s+_f0_orf31	0.048193	0.0	0.084337	0.13253	0.060241	0.0	0.108434	0.036145	0.108434	0.024096	0.072289	0.024096	0.012048	0.0	0.072289	0.012048	0.012048	0.072289	0.084337	0.024096	0.060241	0.26506	0.180723	0.168675	0.554217	0.409639	0.506024	0.13253	10761.7	6	-0.2071	0.3976	0.2892	-0.1642	0.3854	49.28	-1.1325	7.36	0.1687	0.3133	0.0	0.036585	0.012195	0.0	0.0	0.0	0.012195	0.0
contig_4_s-_f2_orf408	0.050314	0.037736	0.050314	0.037736	0.025157	0.069182	0.069182	0.044025	0.062893	0.037736	0.044025	0.031447	0.056604	0.025157	0.056604	0.075472	0.050314	0.069182	0.075472	0.031447	0.194969	0.490566	0.201258	0.132075	0.496855	0.471698	0.27673	0.283019	18653.1	16	-0.0154	0.3459	0.1279	-0.2674	0.1634	56.98	-0.5792	7.5	0.1321	0.3774	0.0	0.006329	0.0	0.0	0.0	0.0	0.006329	0.006329
contig_4_s+_f1_orf26	0.032787	0.016393	0.032787	0.081967	0.081967	0.04918	0.04918	0.04918	0.032787	0.131148	0.081967	0.016393	0.016393	0.016393	0.098361	0.065574	0.0	0.081967	0.04918	0.016393	0.147541	0.311475	0.295082	0.147541	0.409836	0.57377	0.295082	0.180328	7456.4	4	0.0938	0.5082	0.2647	-0.5811	0.1067	97.38	0.141	7.33	0.1475	0.2951	0.033333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_4_s+_f2_orf505	0.057554	0.007194	0.057554	0.043165	0.05036	0.079137	0.079137	0.079137	0.064748	0.064748	0.043165	0.028777	0.057554	0.071942	0.021583	0.021583	0.035971	0.05036	0.064748	0.021583	0.158273	0.395683	0.251799	0.136691	0.431655	0.546763	0.266187	0.244604	16363.7	9	0.1041	0.4101	0.2862	-0.3708	0.1512	76.47	-0.4022	7.32	0.1367	0.3957	0.0	0.007246	0.014493	0.0	0.0	0.007246	0.0	0.007246
contig_3_s-_f2_orf271	0.04902	0.04902	0.029412	0.068627	0.019608	0.039216	0.04902	0.04902	0.04902	0.019608	0.098039	0.039216	0.058824	0.058824	0.029412	0.04902	0.039216	0.058824	0.058824	0.088235	0.137255	0.411765	0.176471	0.166667	0.460784	0.45098	0.22549	0.215686	12387.7	3	0.0429	0.3529	0.1761	-0.3139	0.1451	48.73	-0.5167	7.15	0.1667	0.3725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
contig_2_s-_f0_orf25	0.05298	0.02649	0.066225	0.07947	0.066225	0.02649	0.066225	0.059603	0.092715	0.07947	0.05298	0.013245	0.019868	0.006623	0.125828	0.019868	0.006623	0.086093	0.033113	0.019868	0.099338	0.317881	0.278146	0.119205	0.503311	0.476821	0.430464	0.145695	18677.1	21	-0.1624	0.4305	0.0905	-0.2934	0.3128	84.5	-0.4583	7.7	0.1192	0.298	0.006667	0.006667	0.013333	0.013333	0.0	0.0	0.006667	0.013333
contig_3_s-_f0_orf247	0.037736	0.050314	0.025157	0.025157	0.037736	0.069182	0.037736	0.037736	0.056604	0.037736	0.081761	0.075472	0.062893	0.025157	0.050314	0.056604	0.050314	0.056604	0.069182	0.056604	0.163522	0.484277	0.169811	0.163522	0.45283	0.490566	0.194969	0.289308	18899.8	15	0.0384	0.3585	0.2949	-0.3599	0.0514	49.62	-0.4352	7.47	0.1635	0.3333	0.0	0.0	0.0	0.0	0.0	0.006329	0.006329	0.0
